DatefirstseenSrcIPAddrDstIPAddrInByteOutByte
2020-02-2511:31:03.840,192.168.250.27,192.168.250.1,154,0
2020-02-2511:31:03.840,192.168.250.27,192.168.250.1,154,0
2020-02-2511:31:03.840,192.168.250.1,192.168.250.27,764,0
2020-02-2511:31:03.850,192.168.250.1,192.168.250.27,764,0
2020-02-2511:31:03.850,192.168.250.27,192.168.250.1,154,0
2020-02-2511:31:03.850,192.168.250.27,192.168.250.1,154,0
2020-02-2511:31:03.850,192.168.250.1,192.168.250.27,676,0
2020-02-2511:31:03.850,192.168.250.27,192.168.250.1,152,0
2020-02-2511:31:03.850,192.168.250.27,192.168.250.1,152,0
2020-02-2511:31:03.850,192.168.250.1,192.168.250.27,676,0
2020-02-2511:31:03.860,192.168.250.1,192.168.250.27,888,0
2020-02-2511:31:03.860,192.168.250.27,192.168.250.1,156,0
2020-02-2511:31:03.860,192.168.250.27,192.168.250.1,156,0
2020-02-2511:31:03.860,192.168.250.1,192.168.250.27,888,0
2020-02-2511:31:03.860,192.168.250.27,192.168.250.1,152,0
2020-02-2511:31:03.860,192.168.250.27,192.168.250.1,152,0
2020-02-2511:31:03.870,192.168.250.1,192.168.250.27,760,0
2020-02-2511:31:03.870,192.168.250.1,192.168.250.27,760,0
2020-02-2511:31:03.870,192.168.250.1,192.168.250.27,596,0
2020-02-2511:31:03.870,192.168.250.1,192.168.250.27,596,0
2020-02-2511:31:03.870,192.168.250.27,192.168.250.1,160,0
2020-02-2511:31:03.870,192.168.250.27,192.168.250.1,160,0
2020-02-2511:31:03.880,192.168.250.1,192.168.250.27,700,0
2020-02-2511:31:03.880,192.168.250.1,192.168.250.27,700,0
2020-02-2511:31:03.880,192.168.250.1,192.168.250.27,884,0
2020-02-2511:31:03.890,192.168.250.1,192.168.250.27,884,0
2020-02-2511:31:03.890,192.168.250.1,192.168.250.27,772,0
2020-02-2511:31:03.890,192.168.250.1,192.168.250.27,772,0
2020-02-2511:31:03.920,192.168.250.27,62.128.100.161,224,0
2020-02-2511:31:03.940,62.128.100.161,217.15.20.194,184,0
2020-02-2511:30:59.030,192.168.250.3,141.8.142.75,5812,0
2020-02-2511:30:59.030,141.8.142.75,217.15.20.194,841,0
2020-02-2511:31:05.170,192.168.250.50,192.168.250.1,120,0
2020-02-2511:31:05.180,192.168.250.1,192.168.250.50,1070,0
2020-02-2511:30:11.540,13.232.66.4,217.15.20.194,6076,0
2020-02-2511:30:11.340,192.168.250.27,13.232.66.4,1724,0
2020-02-2511:30:34.610,192.168.250.3,23.226.231.226,308,0
2020-02-2511:31:06.360,192.168.250.62,192.168.250.1,152,0
2020-02-2511:31:06.360,192.168.250.1,192.168.250.62,152,0
2020-02-2511:31:09.550,192.168.250.3,192.168.250.1,142,0
2020-02-2511:31:09.550,192.168.250.1,192.168.250.3,322,0
2020-02-2511:31:09.550,192.168.250.3,192.168.250.1,124,0
2020-02-2511:31:09.550,192.168.250.1,192.168.250.3,124,0
2020-02-2511:31:09.550,192.168.250.3,192.168.250.1,140,0
2020-02-2511:31:09.550,192.168.250.1,192.168.250.3,140,0
2020-02-2511:31:10.010,45.63.43.171,217.15.20.194,138,0
2020-02-2511:31:10.010,192.168.250.247,45.63.43.171,314,0
2020-02-2510:38:52.170,85.21.78.91,217.15.20.194,456,0
2020-02-2511:31:13.100,23.226.231.226,217.15.20.194,80,0
2020-02-2510:39:39.360,192.168.250.3,192.36.143.130,456,0
2020-02-2511:22:10.780,23.226.231.226,217.15.20.194,120,0
2020-02-2511:30:57.090,192.168.250.27,77.74.181.18,826,0
2020-02-2511:30:57.100,77.74.181.18,217.15.20.194,359,0
2020-02-2511:31:17.250,192.168.250.27,192.168.250.1,132,0
2020-02-2511:31:17.260,192.168.250.1,192.168.250.27,1062,0
2020-02-2511:31:17.260,192.168.250.27,192.168.250.1,304,0
2020-02-2511:31:17.260,192.168.250.1,192.168.250.27,761,0
2020-02-2511:31:17.410,192.168.250.27,192.168.250.1,158,0
2020-02-2511:31:17.420,192.168.250.1,192.168.250.27,1076,0
2020-02-2511:31:17.420,192.168.250.27,192.168.250.1,317,0
2020-02-2511:31:17.420,192.168.250.1,192.168.250.27,848,0
2020-02-2511:30:47.460,192.168.250.3,23.226.231.226,308,0
2020-02-2510:32:04.060,64.233.162.188,217.15.20.194,6612,0
2020-02-2511:29:34.660,192.168.250.50,140.82.118.5,2345,0
2020-02-2511:29:34.700,140.82.118.5,217.15.20.194,6241,0
2020-02-2511:31:09.480,92.118.38.58,217.15.20.194,1031,0
2020-02-2511:31:09.480,192.168.250.3,92.118.38.58,972,0
2020-02-2511:31:21.080,172.253.6.1,217.15.20.194,154,0
2020-02-2511:31:21.080,192.168.250.247,172.253.6.1,308,0
2020-02-2511:31:23.430,192.168.250.50,192.168.250.1,146,0
2020-02-2511:31:23.440,192.168.250.1,192.168.250.50,1076,0
2020-02-2511:31:23.440,192.168.250.50,192.168.250.1,311,0
2020-02-2511:31:23.440,192.168.250.1,192.168.250.50,832,0
2020-02-2511:31:23.450,192.168.250.50,192.168.250.1,136,0
2020-02-2511:31:23.450,192.168.250.1,192.168.250.50,730,0
2020-02-2511:31:23.450,192.168.250.50,192.168.250.1,136,0
2020-02-2511:31:23.450,192.168.250.1,192.168.250.50,474,0
